state,deaths_12,pct_12,deaths_13,pct_13
Alabama,240,28,260,31
Alaska,15,25,15,29
Arizona,230,28,219,26
Arkansas,144,26,123,25
California,829,28,867,29
Colorado,134,28,142,30
Connecticut,100,38,114,41
DC,3,20,6,30
Delaware,35,31,38,38
Florida,709,29,676,28
Georgia,295,25,297,25
Hawaii,47,38,33,32
Idaho,52,28,58,27
Illinois,322,34,322,32
Indiana,230,29,198,25
Iowa,96,26,103,32
Kansas,104,26,102,29
Kentucky,169,23,167,26
Louisiana,235,33,234,33
Maine,50,30,42,29
Maryland,163,32,141,30
Massachusetts,129,34,118,36
Michigan,261,28,255,27
Minnesota,114,29,95,25
Mississippi,191,33,210,34
Missouri,283,34,248,33
Montana,89,43,92,40
Nebraska,73,34,60,28
Nevada,85,33,79,30
New Hampshire,32,30,46,34
New Jersey,164,28,146,27
New Mexico,97,27,93,30
New York,340,29,364,30
North Carolina,372,29,371,29
North Dakota,72,42,62,42
Ohio,389,35,271,27
Oklahoma,209,29,170,25
Oregon,88,26,105,34
Pennsylvania,407,31,368,30
Puerto Rico,101,28,127,37
Rhode Island,28,44,24,37
South Carolina,348,40,335,44
South Dakota,44,33,41,30
Tennessee,286,28,277,28
Texas,1290,38,1337,40
Utah,32,15,38,17
Vermont,24,31,18,26
Virginia,209,27,254,34
Washington,143,33,149,34
West Virginia,94,28,91,27
Wisconsin,202,33,178,33
Wyoming,41,33,25,29
