state,pct
Tennessee,10.9
Utah,11.4
West Virginia,11.8
Alabama,12.2
Mississippi,12.5
New Mexico,13.6
Oklahoma,13.6
Nevada,14.5
North Carolina,14.6
Maryland,14.7
Idaho,14.8
Arizona,15
Arkansas,15.2
Delaware,15.8
Georgia,15.8
Kentucky,16.1
Texas,16.1
South Carolina,16.3
Kansas,16.5
Indiana,16.6
Washington,16.6
California,16.7
Wyoming,16.9
New Jersey,17
Rhode Island,17
Virginia,17
Florida,17.2
New York,17.6
Missouri,17.7
Oregon,17.7
New Hampshire,17.8
South Dakota,17.9
Louisiana,18
Colorado,18.1
Connecticut,18.3
Pennsylvania,18.5
Massachusetts,18.7
Vermont,19
Ohio,19.5
Hawaii,19.8
Michigan,19.8
Alaska,20
Maine,20.2
Nebraska,20.4
Minnesota,20.5
Illinois,20.8
Iowa,21.3
Montana,21.3
District of Columbia,24.4
Wisconsin,24.4
North Dakota,24.9
